station_id,station_name,is_mbta_tod_station,mbta_mode,buildings,schools,hospitals,parks,avg_walk_distance_m
1899,1 W Milton St opp Ernest Ave,False,not_mbta_tod,677,1,0,2,719.5515291756658
2060,100 Cambridge St. @ Burger King,False,not_mbta_tod,2336,6,3,36,713.4511852345847
1900,100 S Huntington Ave,False,not_mbta_tod,1271,6,3,8,795.9462393499495
1901,101 Anawan Ave opp Allenwood St,False,not_mbta_tod,2608,5,0,2,714.7500837157849
1903,105 S Huntington Ave,False,not_mbta_tod,1253,6,2,8,804.9825380766944
1904,106 Heath St opp Bickford Ave,False,not_mbta_tod,2070,9,2,16,802.5167886487134
1905,107 Heath St opp Bickford Ave,False,not_mbta_tod,2075,10,2,16,796.4585435208966
1906,1079 Commonwealth Ave,False,not_mbta_tod,768,3,0,4,723.4689689988766
1907,11 Summer St,False,not_mbta_tod,1806,5,0,2,635.7781570176921
1908,112 Walter St opp Cotton St,False,not_mbta_tod,2315,2,1,5,823.1121000078706
1909,113 W Milton St opp Pine Ave,False,not_mbta_tod,1072,2,0,4,709.1309122052985
1910,1135 Hyde Park Ave opp Harvard Ave,False,not_mbta_tod,2108,9,0,2,731.2516095523735
1911,1200 Centre St opp VFW Pkwy,False,not_mbta_tod,1150,0,2,1,829.4165780220397
1912,1205 Hyde Park Ave opp Clay Street,False,not_mbta_tod,1983,8,0,2,692.685256470707
1913,121 Bunker Hill St opp Lexington St,False,not_mbta_tod,2039,5,0,22,580.2495946594314
1914,123 Belgrade Ave opp Penfield St,False,not_mbta_tod,3752,4,0,4,723.8346361113513
1915,125 Western Ave,False,not_mbta_tod,682,0,0,11,712.3008335705003
1916,130 Western Ave,False,not_mbta_tod,743,1,0,12,730.4883965908977
1918,132 Brookline Ave opp Fullerton St,False,not_mbta_tod,724,7,1,10,818.4945373237397
1919,1344 Hyde Park Ave @ Blake Estates,False,not_mbta_tod,2110,7,0,5,883.8525655314157
1920,135 Readville St opp Como St,False,not_mbta_tod,1148,3,0,5,734.8753445641147
1921,1437 Centre St opp Ardale St,False,not_mbta_tod,2324,1,1,2,678.5527598579266
1922,144 Walter St opp Mendum St,False,not_mbta_tod,2085,2,1,5,860.2911578394388
1923,1458 Blue Hill Ave opp Almont St,False,not_mbta_tod,2218,4,0,3,807.4028140809985
1924,1467 Centre St opp Hewlett St,False,not_mbta_tod,2635,2,0,2,737.8102717444842
1926,1532 Hyde Park Ave opp Reservation Rd,False,not_mbta_tod,1547,4,0,6,1274.6510296730676
1927,1539 Centre St opp Bradfield Ave,False,not_mbta_tod,3272,3,0,2,781.4939125644818
1928,154 Metropolitan Ave opp Malverna Rd,False,not_mbta_tod,3045,6,0,3,817.651679227481
1929,156 Western Ave,False,not_mbta_tod,1004,2,0,12,734.2124657158123
1930,1587 Hyde Park Ave,False,not_mbta_tod,1417,3,0,6,1291.0798521832394
1931,160 Waldemar Ave,False,not_mbta_tod,915,3,0,4,0.0
1932,1605 Hyde Park Ave,False,not_mbta_tod,1391,3,0,6,1224.4423485992763
1933,1621 Dorchester Ave opp Dix St,False,not_mbta_tod,3291,8,0,9,733.4111707104479
1934,1624 Blue Hill Ave @ Mattapan Sq,False,not_mbta_tod,1610,4,0,3,625.7955837028201
1935,165 Belgrade Ave opp Walworth St,False,not_mbta_tod,3773,3,0,3,691.8734435161349
1936,1661 Hyde Park Ave,False,not_mbta_tod,1340,3,0,6,1298.4013202140595
1937,168 River St opp Standard St,False,not_mbta_tod,1487,1,0,1,681.9344019844991
1938,169 Bowdoin St opp Eunice St,False,not_mbta_tod,2943,7,0,14,775.3858935862808
1939,17 Pond St,False,not_mbta_tod,1865,3,0,1,769.6905640001628
1940,170 Walter St,False,not_mbta_tod,1586,1,2,3,817.2344988881538
1941,171 Faywood Ave,False,not_mbta_tod,984,2,0,4,0.0
1942,173 Alford St,False,not_mbta_tod,24,0,0,2,654.8116751118181
1943,177 Heath St opp Walden St,False,not_mbta_tod,2089,9,2,14,743.3123120365261
1944,1799 River St opp Norton St,False,not_mbta_tod,1047,2,0,3,829.948311184656
1945,180 Dorchester St opp W 7th St,False,not_mbta_tod,3216,3,0,4,642.7905144487602
1947,19 Brighton Ave,False,not_mbta_tod,1016,3,0,4,739.4159614049355
1950,202 Orient Ave,False,not_mbta_tod,1129,2,0,4,63.92691020647961
1951,205 Roxbury St,False,not_mbta_tod,1323,12,0,19,825.3003595044185
1952,2165 Dorchester Ave,False,not_mbta_tod,2247,2,0,2,703.0083188742186
1953,219 Faywood Ave,False,not_mbta_tod,855,2,0,3,0.0
1640,220 Waldemar Ave,False,not_mbta_tod,780,2,0,2,0.0
1954,227 Norfolk St opp Stanton St,False,not_mbta_tod,2748,8,0,6,786.8993685838522
1955,229 Reservation Rd opp Thompson St,False,not_mbta_tod,1457,6,0,4,803.170370325279
2454,23 Dry Dock Ave,False,not_mbta_tod,202,0,0,5,950.4864750294493
61,23 Dry Dock Ave,False,not_mbta_tod,207,0,0,5,974.6471291167434
1956,230 Park St opp Gilmore Terr,False,not_mbta_tod,2847,4,0,1,747.3555347216334
1957,239 N Beacon St,False,not_mbta_tod,1586,3,0,7,763.3224272061701
1958,239 Neponset Ave,False,not_mbta_tod,2289,4,0,9,768.300900414048
1960,243 West St opp Myopia Rd,False,not_mbta_tod,1692,5,0,2,814.917068732695
1961,247 Norfolk St opp Capen St,False,not_mbta_tod,2837,8,0,5,757.7554676036272
1962,248 Neponset Ave,False,not_mbta_tod,2264,4,0,9,764.2095899931946
1963,250 Dorchester Avenue,False,not_mbta_tod,1434,1,0,9,891.3767767592245
2426,250 Mt Vernon St @ Geiger Gibson Health Center,False,not_mbta_tod,557,4,0,7,867.1557088679573
1964,2508 Centre St,False,not_mbta_tod,1434,3,0,2,1015.3390852900897
1965,2519 Centre St,False,not_mbta_tod,1433,3,0,2,1025.0530725619244
1966,2550 Centre St,False,not_mbta_tod,1241,2,0,2,869.4249222587869
1967,263 Mt Vernon St @ St Christopher's Church,False,not_mbta_tod,611,4,0,7,873.8049586282069
1968,265 Hyde Park Ave opp Eldridge St,False,not_mbta_tod,1781,4,0,4,863.4035249559536
87,27 Dry Dock Ave,False,not_mbta_tod,192,0,0,6,1112.026743891984
1969,272 Reservation Rd opp Brainard St,False,not_mbta_tod,1328,4,0,3,788.126291697665
1970,277 Belgrade Ave opp Rexhame St,False,not_mbta_tod,3435,4,0,1,732.3915929736733
1971,285 Tremont St,False,not_mbta_tod,1524,6,2,26,670.915220343262
1974,302 Turtle Pond Pkwy,False,not_mbta_tod,1047,2,0,2,1243.0086924921688
1977,31 Walter St opp Sheffield St,False,not_mbta_tod,2992,3,0,5,692.8888177241421
1978,310 Corey St,False,not_mbta_tod,2086,0,0,3,642.2534722355018
1979,338 West St,False,not_mbta_tod,1193,0,0,2,1018.819697757297
1980,34 Heath St opp Bromley St,False,not_mbta_tod,2096,8,1,18,773.9070173174545
1981,347 West St,False,not_mbta_tod,1252,0,0,2,1819.3832645454884
2519,350 Summer St,False,not_mbta_tod,257,1,0,23,728.6970533441227
1982,350 Washington St,False,not_mbta_tod,1541,0,0,37,646.3348993240692
1983,355 Norfolk St opp Withington St,False,not_mbta_tod,2889,9,0,7,667.9854423686146
1984,360 Huntington Ave,False,not_mbta_tod,1456,3,0,18,719.0791004794514
1985,367 Western Ave opp Brighton Mills Mall,False,not_mbta_tod,1072,2,0,11,645.8665044873345
1987,3867 Washington St opp Tollgate Way,False,not_mbta_tod,1274,2,0,4,813.2995748976476
1988,398 Neponset Ave @ Neponset Health Center,False,not_mbta_tod,1418,3,0,4,634.5545331148707
2513,400 Summer St,False,not_mbta_tod,239,1,0,23,644.0116946071855
1989,403 West St,False,not_mbta_tod,1278,1,0,2,1048.2900027151443
1990,42A John Eliot Sq,False,not_mbta_tod,1375,13,0,20,804.6260567509357
1991,43 W Dedham St,False,not_mbta_tod,3261,7,1,27,631.312455143016
1992,442 W Broadway,False,not_mbta_tod,3419,5,0,6,650.5787371060517
1993,445 Western Ave,False,not_mbta_tod,829,2,0,8,703.7792430897819
1994,450 Western Ave,False,not_mbta_tod,824,2,0,8,722.4994648030804
1995,452 Geneva Ave opp Bloomfield St,False,not_mbta_tod,3224,6,0,10,719.0098881232631
2481,467 Chelsea St - Eagle Square,False,not_mbta_tod,1472,5,0,14,108.17440403881153
1996,49 W Milton St opp W Milton Pl,False,not_mbta_tod,868,1,0,4,751.8374976659524
1997,493 Talbot Ave opp Argyle St,False,not_mbta_tod,3305,8,0,5,740.2206161838654
1998,5 Charles Park Rd,False,not_mbta_tod,1078,5,1,1,848.2146091748009
1999,5 Walter St opp Hewlett St,False,not_mbta_tod,3158,3,0,5,675.4005387686121
2001,510 Hyde Park Ave,False,not_mbta_tod,2332,8,0,3,766.8791550500968
2002,515 Hyde Park Ave,False,not_mbta_tod,2444,8,0,3,772.6919550350843
2003,529 Main St,False,not_mbta_tod,953,1,0,9,586.4168003207928
2004,529 Poplar St,False,not_mbta_tod,1862,2,0,2,1983.645323175779
2005,540 Albany St opp Wareham St,False,not_mbta_tod,1299,4,1,15,867.9198769973053
2006,544 Poplar St,False,not_mbta_tod,1869,2,0,2,1979.2686433314104
2007,55 Hallet St opp Florian Hall,False,not_mbta_tod,1620,2,0,6,734.744707327691
2008,575 Poplar St opp Deforest St,False,not_mbta_tod,1587,2,0,3,967.2856319086446
2009,60 Western Ave,False,not_mbta_tod,502,0,0,10,711.5520690147945
2010,61 Summer St opp Parrott St,False,not_mbta_tod,1940,8,0,2,776.5202394584675
